date,srad,tmin,tmax,precip,lat,lon
1999-01-01,102.5999984741211,-3.2500061035156023,8.450006103515648,0.4000000059604645,37.54,-108.74
1999-01-02,113.5999984741211,-5.549993896484352,6.249993896484398,0.0,37.54,-108.74
1999-01-03,114.9000015258789,-8.750006103515602,3.3500000000000227,0.0,37.54,-108.74
1999-01-04,114.4000015258789,-10.949987792968727,3.8500000000000227,0.0,37.54,-108.74
1999-01-05,113.5999984741211,-7.549993896484352,6.050012207031273,0.0,37.54,-108.74
1999-01-06,114.4000015258789,-6.149999999999977,7.450006103515648,0.0,37.54,-108.74
1999-01-07,103.70000457763672,-4.750006103515602,7.550012207031273,0.0,37.54,-108.74
1999-01-08,117.5999984741211,-7.149999999999977,4.050012207031273,0.0,37.54,-108.74
1999-01-09,116.0,-9.350012207031227,5.749993896484398,0.0,37.54,-108.74
1999-01-10,117.0,-6.850012207031227,8.050012207031273,0.0,37.54,-108.74
1999-01-11,117.5,-4.449987792968727,8.649987792968773,0.0,37.54,-108.74
1999-01-12,73.5999984741211,-4.449987792968727,7.649987792968773,0.0,37.54,-108.74
1999-01-13,107.9000015258789,-6.850012207031227,5.950006103515648,0.0,37.54,-108.74
1999-01-14,116.80000305175781,-6.649999999999977,6.550012207031273,0.0,37.54,-108.74
1999-01-15,65.70000457763672,-5.350012207031227,6.749993896484398,0.0,37.54,-108.74
1999-01-16,96.4000015258789,-5.049993896484352,7.850000000000023,0.0,37.54,-108.74
1999-01-17,89.5999984741211,-5.449987792968727,6.350000000000023,0.0,37.54,-108.74
1999-01-18,115.5,-1.4499877929687273,10.550012207031273,0.0,37.54,-108.74
1999-01-19,122.5999984741211,-1.4499877929687273,10.249993896484398,0.0,37.54,-108.74
1999-01-20,95.80000305175781,-1.6499999999999773,9.649987792968773,1.399999976158142,37.54,-108.74
1999-01-21,104.70000457763672,-5.649999999999977,6.249993896484398,5.099999904632568,37.54,-108.74
1999-01-22,130.8000030517578,-7.949987792968727,3.9500061035156477,0.699999988079071,37.54,-108.74
1999-01-23,119.5,-5.350012207031227,8.149987792968773,0.0,37.54,-108.74
1999-01-24,116.5,-0.35001220703122726,11.850000000000023,0.0,37.54,-108.74
1999-01-25,119.9000015258789,1.2499938964843977,14.249993896484398,0.0,37.54,-108.74
1999-01-26,54.20000076293945,-3.4499877929687273,10.550012207031273,0.30000001192092896,37.54,-108.74
1999-01-27,73.4000015258789,-5.649999999999977,4.350000000000023,0.0,37.54,-108.74
1999-01-28,139.40000915527344,-8.149999999999977,4.350000000000023,0.0,37.54,-108.74
1999-01-29,142.5,-8.350012207031227,6.149987792968773,0.0,37.54,-108.74
1999-01-30,143.90000915527344,-8.549993896484352,5.149987792968773,0.0,37.54,-108.74
1999-01-31,103.20000457763672,-6.850012207031227,8.550012207031273,0.0,37.54,-108.74
1999-02-01,134.6999969482422,-5.949987792968727,6.850000000000023,0.0,37.54,-108.74
1999-02-02,150.40000915527344,-8.049993896484352,5.950006103515648,0.0,37.54,-108.74
1999-02-03,148.3000030517578,-6.750006103515602,8.350000000000023,0.0,37.54,-108.74
1999-02-04,134.6999969482422,-4.149999999999977,11.350000000000023,6.099999904632568,37.54,-108.74
1999-02-05,68.30000305175781,-1.0499938964843523,8.950006103515648,5.400000095367432,37.54,-108.74
1999-02-06,127.0999984741211,-3.1499999999999773,8.350000000000023,1.899999976158142,37.54,-108.74
1999-02-07,147.10000610351562,-3.3500122070312273,9.950006103515648,0.0,37.54,-108.74
1999-02-08,147.5,-1.7500061035156023,10.850000000000023,0.0,37.54,-108.74
1999-02-09,152.5,-1.1499999999999773,13.249993896484398,0.0,37.54,-108.74
1999-02-10,86.80000305175781,-8.149999999999977,10.149987792968773,0.30000001192092896,37.54,-108.74
1999-02-11,165.60000610351562,-12.049993896484352,1.0500122070312727,0.0,37.54,-108.74
1999-02-12,167.1999969482422,-10.949987792968727,6.649987792968773,0.0,37.54,-108.74
1999-02-13,169.1999969482422,-4.449987792968727,13.249993896484398,0.0,37.54,-108.74
1999-02-14,153.3000030517578,-2.2500061035156023,12.649987792968773,0.0,37.54,-108.74
1999-02-15,151.90000915527344,-5.049993896484352,9.050012207031273,0.0,37.54,-108.74
1999-02-16,155.8000030517578,-5.949987792968727,9.050012207031273,0.0,37.54,-108.74
1999-02-17,119.5999984741211,-4.149999999999977,9.149987792968773,0.0,37.54,-108.74
1999-02-18,129.40000915527344,-4.750006103515602,8.149987792968773,0.0,37.54,-108.74
1999-02-19,139.90000915527344,-2.6499999999999773,9.649987792968773,0.0,37.54,-108.74
1999-02-20,177.3000030517578,-5.549993896484352,7.550012207031273,0.0,37.54,-108.74
1999-02-21,142.90000915527344,-4.149999999999977,12.850000000000023,0.0,37.54,-108.74
1999-02-22,180.6999969482422,-6.049993896484352,8.850000000000023,0.0,37.54,-108.74
1999-02-23,181.0,-5.149999999999977,9.550012207031273,0.0,37.54,-108.74
1999-02-24,184.0,-2.4499877929687273,12.249993896484398,0.0,37.54,-108.74
1999-02-25,187.3000030517578,-1.8500122070312273,13.850000000000023,0.0,37.54,-108.74
1999-02-26,178.60000610351562,-2.9499877929687273,11.350000000000023,0.0,37.54,-108.74
1999-02-27,191.40000915527344,-5.949987792968727,10.350000000000023,0.0,37.54,-108.74
1999-02-28,190.0,-2.7500061035156023,13.450006103515648,0.0,37.54,-108.74
1999-03-01,181.10000610351562,-0.44998779296872726,15.950006103515648,0.0,37.54,-108.74
1999-03-02,194.90000915527344,-2.8500122070312273,11.749993896484398,0.0,37.54,-108.74
